Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,Postal_Code,Latitude,Longitude
Newfoundland and Labrador,Low Wage,Labrador Fishermen's Union Shrimp Company Limited,"LANSE AU LOUP, NL A0K 3L0",94142-Fish and seafood plant workers,Unknown,2,12,A0K 3L0,52.7359,-57.9825
Newfoundland and Labrador,Primary Agriculture,Comfort Cove Farms Ltd.,"COMFORT COVE-NEWSTEAD, NL A0G 3K0",85100-Livestock labourers,Unknown,1,4,A0G 3K0,48.8657,-54.7296
Newfoundland and Labrador,Primary Agriculture,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",82030-Agricultural service contractors and farm supervisors,Unknown,1,5,A8A 2R7,49.1667,-57.4316
Newfoundland and Labrador,Primary Agriculture,M&P Dairy Farm Ltd.,"Goulds, NL A1S 1G7",85100-Livestock labourers,Unknown,1,2,A1S 1G7,47.4212,-52.8077
Newfoundland and Labrador,Primary Agriculture,Triple E farms ltd.,"Comfort Cove, NL A0G 3K0",85101-Harvesting labourers,Unknown,2,9,A0G 3K0,48.8657,-54.7296
Prince Edward Island,High Wage,102709 PEI INC,"Charlottetown, PE C1A 5P6",73101-Tilesetters,Unknown,1,1,C1A 5P6,46.2716,-63.0165
Prince Edward Island,High Wage,AgraWest Foods Ltd,"Souris, PE C0A 2B0",72400-Construction millwrights and industrial mechanics,Unknown,1,1,C0A 2B0,46.1668,-62.6487
Prince Edward Island,High Wage,Coach Atlantic Transportation Group Inc.,"Charlottetown, PE C1A 5R7",72401-Heavy-duty equipment mechanics,Unknown,1,3,C1A 5R7,46.2716,-63.0165
Prince Edward Island,High Wage,"CY.Yumi Catering Management Co., Ltd.","Charlottetown, PE C1E 1E3",60030-Restaurant and food service managers,Unknown,1,1,C1E 1E3,46.3451,-63.2011
Prince Edward Island,High Wage,Gill Construction Inc.,"Elliotvale, PE C0A 1T0",72310-Carpenters,Unknown,1,3,C0A 1T0,46.1668,-62.6487
Prince Edward Island,High Wage,Health PEI,"Charlottetown, PE C1A 7N8",31100-Specialists in clinical and laboratory medicine,Unknown,1,1,C1A 7N8,46.2716,-63.0165
Prince Edward Island,High Wage,Health PEI,"Charlottetown, PE C1A 7N8",31102-General practitioners and family physicians,Unknown,1,1,C1A 7N8,46.2716,-63.0165
Prince Edward Island,High Wage,Maczak holdings. Lt.,"Charlottetown, PE C1A 8K3",62020-Food service supervisors,Unknown,1,1,C1A 8K3,46.2716,-63.0165
Prince Edward Island,High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1E 3M9",73300-Transport truck drivers,Unknown,1,14,C1E 3M9,46.3451,-63.2011
Prince Edward Island,High Wage,Tolsma Grisnich Canada Inc.,"Summerside, PE C1N 4J9",62100-Technical sales specialists - wholesale trade,Unknown,1,1,C1N 4J9,46.3959,-63.7876
Prince Edward Island,Low Wage,101435 P.E.I. Inc.,"Charlottetown, PE C1E 2A1",85121-Landscaping and grounds maintenance labourers,Unknown,1,2,C1E 2A1,46.3451,-63.2011
Prince Edward Island,Low Wage,11865498 CANADA INC.,"Charlottetown, PE C1A 6B2",63200-Cooks,Unknown,1,1,C1A 6B2,46.2716,-63.0165
Prince Edward Island,Low Wage,Ayoub Holdings Ltd.,"Charlottetown, PE C1A 4N1",62020-Food service supervisors,Unknown,1,1,C1A 4N1,46.2716,-63.0165
Prince Edward Island,Low Wage,Ayoub Holdings Ltd.,"Charlottetown, PE C1A 4N1",63200-Cooks,Unknown,1,1,C1A 4N1,46.2716,-63.0165
Prince Edward Island,Low Wage,Bombay Cuisine Inc,"Charlottetown, PE C1A 4M8",63200-Cooks,Unknown,1,2,C1A 4M8,46.2716,-63.0165
Prince Edward Island,Low Wage,Canada's Island Garden Inc,"Charlottetown, PE C1E 0B7",85103-Nursery and greenhouse labourers,Unknown,1,5,C1E 0B7,46.3451,-63.2011
Prince Edward Island,Low Wage,Cedar Foods (2010) Limited,"Charlottetown, PE C1A 4L1",63200-Cooks,Unknown,1,1,C1A 4L1,46.2716,-63.0165
Prince Edward Island,Low Wage,GSSJ McMillan Holdings Limited,"Summerside, PE C1N 4K6",62010-Retail sales supervisors,Unknown,1,2,C1N 4K6,46.3959,-63.7876
Prince Edward Island,Low Wage,Hunter's Ale & The Factory Downtown Inc,"Charlottetown, PE C1A 1P1",63200-Cooks,Unknown,1,2,C1A 1P1,46.2716,-63.0165
Prince Edward Island,Low Wage,Joloway Ltd,"Charlottetown, PE C1E 1R3","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,C1E 1R3,46.3451,-63.2011
Prince Edward Island,Low Wage,Kensington Community Care Home Ltd,"Kensington, PE C0B 1M0","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2,C0B 1M0,46.6023,-63.9583
Prince Edward Island,Low Wage,Malpeque Bay Oyster Farms Ltd,"Ellerslie-Bideford, PE C0B 1J0",85102-Aquaculture and marine harvest labourers,Unknown,1,3,C0B 1J0,46.6023,-63.9583
Prince Edward Island,Low Wage,Perrys Construction Ltd.,"Tignish, PE C0B 2B0",75110-Construction trades helpers and labourers,Unknown,1,10,C0B 2B0,46.6023,-63.9583
Prince Edward Island,Low Wage,Rodd Management Ltd.,"Charlottetown, PE C1A 1M9",63200-Cooks,Unknown,1,3,C1A 1M9,46.2716,-63.0165
Prince Edward Island,Primary Agriculture,101497 PEI Inc,"Cherry Valley, PE C0A 2E0",85101-Harvesting labourers,Unknown,1,12,C0A 2E0,46.1668,-62.6487
Prince Edward Island,Primary Agriculture,7035233 Canada Inc.,"Mount Stewart, PE C0A 1T0",82030-Agricultural service contractors and farm supervisors,Unknown,1,3,C0A 1T0,46.1668,-62.6487
Prince Edward Island,Primary Agriculture,Birch Farms Ltd.,"Summerside, PE C1N 4J9",84120-Specialized livestock workers and farm machinery operators,Unknown,1,1,C1N 4J9,46.3959,-63.7876
Prince Edward Island,Primary Agriculture,D & E Pork Inc.,"Albany, PE C0B 1A0",82030-Agricultural service contractors and farm supervisors,Unknown,1,1,C0B 1A0,46.6023,-63.9583
Prince Edward Island,Primary Agriculture,D & E Pork Inc.,"Albany, PE C0B 1A0",85100-Livestock labourers,Unknown,1,2,C0B 1A0,46.6023,-63.9583
Prince Edward Island,Primary Agriculture,G Visser & Sons Inc.,"Vernon Bridge, PE C0A 2E0",85101-Harvesting labourers,Unknown,1,5,C0A 2E0,46.1668,-62.6487
Prince Edward Island,Primary Agriculture,Hakkers Produce Inc,"BELFAST, PE C0A 1A0",85101-Harvesting labourers,Unknown,2,3,C0A 1A0,46.1668,-62.6487
Prince Edward Island,Primary Agriculture,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",85101-Harvesting labourers,Unknown,1,12,C1N 4V4,46.3959,-63.7876
Prince Edward Island,Primary Agriculture,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",85101-Harvesting labourers,Unknown,3,27,C0B 1B0,46.6023,-63.9583
Prince Edward Island,Primary Agriculture,Nobra Holsteins Inc.,"Irishtown, PE C0B 1M0",85100-Livestock labourers,Unknown,2,3,C0B 1M0,46.6023,-63.9583
Prince Edward Island,Primary Agriculture,Pure Pork Farms Ltd.,"Mount Albion, PE C1B 4B3",85100-Livestock labourers,Unknown,1,6,C1B 4B3,46.2179,-63.0795
Prince Edward Island,Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",85101-Harvesting labourers,Unknown,1,18,C1B 0R4,46.2179,-63.0795
Prince Edward Island,Primary Agriculture,Verdant LLC,"Cardigan, PE C0A 1G0",85101-Harvesting labourers,Unknown,1,14,C0A 1G0,46.1668,-62.6487
Prince Edward Island,Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",85101-Harvesting labourers,Unknown,2,4,C0B 1K0,46.6023,-63.9583
Nova Scotia,Global Talent Stream,Maritime Digital Art and Design ltd,"Halifax, NS B3J 1G5",21231-Software engineers and designers,Unknown,1,1,B3J 1G5,44.6451,-63.5762
Nova Scotia,Global Talent Stream,ResMed,"Halifax, NS B3S 0H1",21231-Software engineers and designers,Unknown,1,1,B3S 0H1,44.6533,-63.6675
Nova Scotia,Global Talent Stream,"TAKE-TWO INTERACTIVE CANADA, INC.","Halifax, NS B3L 2C2",21231-Software engineers and designers,Unknown,1,1,B3L 2C2,44.6508,-63.6146
Nova Scotia,Global Talent Stream,Trip Ninja Inc,"Halifax, NS B3J 3N2",21231-Software engineers and designers,Unknown,1,1,B3J 3N2,44.6451,-63.5762
Nova Scotia,High Wage,15325056 CANADA INC,"HALIFAX, NS B3M 2Y7","73102-Plasterers, drywall installers and finishers and lathers",Unknown,2,2,B3M 2Y7,44.6784,-63.6582
Nova Scotia,High Wage,3085604 Nova Scotia Limited,"Bible Hill, NS B2N 6S6",72311-Cabinetmakers,Unknown,1,1,B2N 6S6,45.3668,-63.2654
Nova Scotia,High Wage,3104411 Nova Scotia Limited,"Digby, NS B0V 1A0","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,B0V 1A0,44.5342,-65.7783
Nova Scotia,High Wage,3296264 nova Scotia limited,"Vaughan, NS B0N 2T0",60020-Retail and wholesale trade managers,Unknown,1,1,B0N 2T0,45.0963,-63.4701
Nova Scotia,High Wage,3317019 Nova Scotia limited,"Bridgewater, NS B4V 3T2",60030-Restaurant and food service managers,Unknown,1,1,B4V 3T2,44.3835,-64.5155
Nova Scotia,High Wage,3344150 Nova Scotia Limited,"Halifax, NS B3J 3Z4",60030-Restaurant and food service managers,Unknown,1,1,B3J 3Z4,44.6451,-63.5762
Nova Scotia,High Wage,4412813 NOVA SCOTIA LIMITED,"Halifax, NS B3J 3K3","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,B3J 3K3,44.6451,-63.5762
Nova Scotia,High Wage,4536760 NOVA SCOTIA LIMITED,"Bedford, NS B4A 3Z5","63211-Estheticians, electrologists and related occupations",Unknown,1,1,B4A 3Z5,44.7232,-63.656
Nova Scotia,High Wage,4RUNNER CONSTRUCTION LTD.,"Halifax, NS B3M 4J1","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,2,B3M 4J1,44.6784,-63.6582
Nova Scotia,High Wage,ADVANCE TRAVEL INC.,"Bedford, NS B4B 2M8","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,B4B 2M8,44.7509,-63.7711
Nova Scotia,High Wage,Anumandla Accounting Limited,"Bedford, NS B4B 0X4",12200-Accounting technicians and bookkeepers,Unknown,1,1,B4B 0X4,44.7509,-63.7711
Nova Scotia,High Wage,Bajwa Hauling Inc,"Truro, NS B2N 6T2",73300-Transport truck drivers,Unknown,1,5,B2N 6T2,45.3668,-63.2654
Nova Scotia,High Wage,Bhullar Interiors and Restorations Ltd.,"Dartmouth, NS B2X 1B8","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1,B2X 1B8,44.702,-63.533
Nova Scotia,High Wage,Brisk Drywall Ltd.,"Dartmouth, NS B2Y 3C6","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1,B2Y 3C6,44.6645,-63.5453
Nova Scotia,High Wage,Brothers Indian Grocery Store INC,"Halifax, NS B3N 0G1",60030-Restaurant and food service managers,Unknown,1,2,B3N 0G1,44.631,-63.6405
Nova Scotia,High Wage,Brothers Indian Grocery Store INC,"Halifax, NS B3N 0G1",63200-Cooks,Unknown,1,1,B3N 0G1,44.631,-63.6405
Nova Scotia,High Wage,Bruce N-K Limited,"Kentville, NS B4N 3V7","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2,B4N 3V7,45.0834,-64.4988
Nova Scotia,High Wage,Canus Logistics Inc.,"Dartmouth, NS B3B 1T3",73300-Transport truck drivers,Unknown,2,5,B3B 1T3,44.7091,-63.5869
Nova Scotia,High Wage,Dalhousie University,"Halifax, NS B3H 4R2",41200-University professors and lecturers,Unknown,1,1,B3H 4R2,44.6344,-63.5822
Nova Scotia,High Wage,Dalhousie University,"Halifax, NS B3H 4R2",41201-Post-secondary teaching and research assistants,Unknown,1,1,B3H 4R2,44.6344,-63.5822
Nova Scotia,High Wage,DXB Logistics Inc.,"Bedford, NS B4B 2E6",73300-Transport truck drivers,Unknown,1,2,B4B 2E6,44.7509,-63.7711
Nova Scotia,High Wage,Eastwater Professional Roofing Services Ltd,"Yarmouth, NS B5A 5H8",72310-Carpenters,Unknown,1,1,B5A 5H8,43.8335,-66.1156
Nova Scotia,High Wage,eatgrk authentic Greek souvlaki and gyro bar,"Windsor Street, NS B3K 5B8",62200-Chefs,Unknown,1,1,B3K 5B8,44.662,-63.6017
Nova Scotia,High Wage,EMC Emergency Medical Care Inc.,"Dartmouth, NS B3B 2B2",32102-Paramedical occupations,Unknown,1,15,B3B 2B2,44.7091,-63.5869
Nova Scotia,High Wage,ESTEEM DRYWALL LTD.,"HALIFAX, NS B3R 1V3",72310-Carpenters,Unknown,1,1,B3R 1V3,44.5939,-63.6031
Nova Scotia,High Wage,Genpact Canada Services Company,"Halifax, NS B3J 3R7",21221-Business system specialists,Corporation,1,1,B3J 3R7,44.6451,-63.5762
Nova Scotia,High Wage,Genpact Canada Services Company,"Halifax, NS B3J 3R7",21222-Information systems specialists,Corporation,1,1,B3J 3R7,44.6451,-63.5762
Nova Scotia,High Wage,GHD Hospitality Group Incorporated,"Sable River, NS B0T 1V0","65312-Janitors, caretakers and heavy-duty cleaners",Unknown,1,1,B0T 1V0,44.0802,-65.1175
Nova Scotia,High Wage,Hotel N.S. Ownership Limited Partnership,"Halifax, NS B3H 2P6",60030-Restaurant and food service managers,Unknown,1,1,B3H 2P6,44.6344,-63.5822
Nova Scotia,High Wage,Jds Logistics Inc,"Dartmouth, NS B3B 1J4",73300-Transport truck drivers,Unknown,1,2,B3B 1J4,44.7091,-63.5869
Nova Scotia,High Wage,Jibro Enterprise Inc,"Halifax, NS B3J 3T1",62200-Chefs,Unknown,1,1,B3J 3T1,44.6451,-63.5762
Nova Scotia,High Wage,K1ST INC.,"Lower Sackville, NS B4C 2K3",72310-Carpenters,Unknown,1,2,B4C 2K3,44.7607,-63.637
Nova Scotia,High Wage,King Lam Restaurant Ltd.,"Bible Hill, NS B2N 4G5",60030-Restaurant and food service managers,Unknown,1,1,B2N 4G5,45.3668,-63.2654
Nova Scotia,High Wage,MacKay's Auto & Custom Limited,"Lower Sackville, NS B4E 0J8","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,2,B4E 0J8,44.8163,-63.7387
Nova Scotia,High Wage,Maritime Drywall & Acoustical Limited,"Dartmouth, NS B3B 1W2","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,5,B3B 1W2,44.7091,-63.5869
Nova Scotia,High Wage,Mirchi Tandoor Inc.,"halifax, NS B3J 1J7",63200-Cooks,Unknown,1,4,B3J 1J7,44.6451,-63.5762
Nova Scotia,High Wage,MOSSAH Foods Corp.,"Kingston, NS B0P 1R0",12200-Accounting technicians and bookkeepers,Unknown,1,1,B0P 1R0,45.0328,-64.6566
Nova Scotia,High Wage,P N L Communications Ltd,"Halifax, NS B3K 4P1",21232-Software developers and programmers,Unknown,1,1,B3K 4P1,44.662,-63.6017
Nova Scotia,High Wage,Portable Welders Limited,"Truro, NS B2N 0C9","72010-Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",Unknown,1,1,B2N 0C9,45.3668,-63.2654
Nova Scotia,High Wage,R. N. Apex Solutions Ltd,"Dartmouth, NS B3B 1L1",13102-Payroll administrators,Unknown,1,1,B3B 1L1,44.7091,-63.5869
Nova Scotia,High Wage,R. N. Apex Solutions Ltd,"Dartmouth, NS B3B 1L1",75201-Delivery service drivers and door-to-door distributors,Unknown,1,3,B3B 1L1,44.7091,-63.5869
Nova Scotia,High Wage,Scanway Catering Ltd,"Halifax, NS B3J 3K5",62200-Chefs,Unknown,1,1,B3J 3K5,44.6451,-63.5762
Nova Scotia,High Wage,Schooner Seafoods Limited,"Lower Wedgeport, NS B0W 3P0","92012-Supervisors, food and beverage processing",Unknown,1,1,B0W 3P0,44.0486,-65.7547
Nova Scotia,High Wage,Shanaka Restaurants Inc.,"Windsor, NS B0N 2T0",62020-Food service supervisors,Unknown,1,1,B0N 2T0,45.0963,-63.4701
Nova Scotia,High Wage,Site 2020 Incorporated,"Dartmouth, NS B3B 1J3",12100-Executive assistants,Unknown,1,1,B3B 1J3,44.7091,-63.5869
Nova Scotia,High Wage,Slumber Inn Ltd.,"New Minas, NS B4N 3K8",62021-Executive housekeepers,Unknown,1,2,B4N 3K8,45.0834,-64.4988
Nova Scotia,High Wage,Sobeys Capital Incorporée,"Stellarton, NS B0K 1S0","10022-Advertising, marketing and public relations managers",Unknown,1,1,B0K 1S0,45.6138,-62.9506
Nova Scotia,High Wage,Sushifang INC.,"Newminas, NS B4N 4N1",63200-Cooks,Unknown,1,1,B4N 4N1,45.0834,-64.4988
Nova Scotia,High Wage,TOP OF THE MOUNTAIN ACCOMMODATIONS AND MANAGEMENT LTD.,"Port Clyde, NS B0T 1W0",62024-Cleaning supervisors,Unknown,1,1,B0T 1W0,44.0802,-65.1175
Nova Scotia,High Wage,TOPAZ TRANSPORT INC.,"BEAVER BANK, NS B4E 3J4",73300-Transport truck drivers,Unknown,1,12,B4E 3J4,44.8163,-63.7387
Nova Scotia,High Wage,VMG Strategic Consulting,"Halifax, NS B4A 1B9",22221-User support technicians,Unknown,1,1,B4A 1B9,44.7232,-63.656
Nova Scotia,Low Wage,15909431 canada inc.,"Blockhouse, NS B0J 1E0",65100-Cashiers,Unknown,1,1,B0J 1E0,44.9419,-62.6471
Nova Scotia,Low Wage,3026236 nova scotia ltd,"Halifax, NS B3K 4C4",63202-Bakers,Unknown,1,1,B3K 4C4,44.662,-63.6017
Nova Scotia,Low Wage,3091247 Nova Scotia Limited,"Trenton, NS B0K 1X0",63200-Cooks,Unknown,2,2,B0K 1X0,45.6138,-62.9506
Nova Scotia,Low Wage,3099228 Nova Scotia Limited,"Italy Cross, NS B4V 0K8",72310-Carpenters,Unknown,1,3,B4V 0K8,44.3835,-64.5155
Nova Scotia,Low Wage,3186255 Nova Scotia Limited,"Middle Sackville, NS B4E 2W8",62010-Retail sales supervisors,Unknown,1,1,B4E 2W8,44.8163,-63.7387
Nova Scotia,Low Wage,3253587 Nova Scotia Limited,"Bedford, NS B4A 1B9",63200-Cooks,Unknown,1,1,B4A 1B9,44.7232,-63.656
Nova Scotia,Low Wage,3286710 Nova Scotia Limited,"Chester, NS B0J 1J0",63200-Cooks,Unknown,1,1,B0J 1J0,44.9419,-62.6471
Nova Scotia,Low Wage,3300590 Nova Scotia Limited,"Halifax, NS B3J 1Y2",63200-Cooks,Unknown,1,1,B3J 1Y2,44.6451,-63.5762
Nova Scotia,Low Wage,3320009 Nova Scotia Limited,"Halifax, NS B3J 3T1",62010-Retail sales supervisors,Unknown,1,1,B3J 3T1,44.6451,-63.5762
Nova Scotia,Low Wage,3326467 Nova Scotia ltd,"Halifax, NS B3M 1M2",72311-Cabinetmakers,Unknown,1,1,B3M 1M2,44.6784,-63.6582
Nova Scotia,Low Wage,4317302 Nova Scotia Limited,"Halifax, NS B3N 2L4",60030-Restaurant and food service managers,Unknown,1,1,B3N 2L4,44.631,-63.6405
Nova Scotia,Low Wage,4338765 NOVA SCOTIA LTD,"COLDBROOK, NS B4R 1C1","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,2,B4R 1C1,45.0668,-64.5821
Nova Scotia,Low Wage,4349866 Nova Scotia Limited,"Dartmouth, NS B3B 1N8",13110-Administrative assistants,Unknown,1,2,B3B 1N8,44.7091,-63.5869
Nova Scotia,Low Wage,4375487 Nova Scotia Limited,"Hammonds Plains, NS B4B 0A6",63200-Cooks,Unknown,1,1,B4B 0A6,44.7509,-63.7711
Nova Scotia,Low Wage,4384085 NOVA SCOTIA LIMITED,"Halifax, NS B3M 0A5",65310-Light duty cleaners,Unknown,1,1,B3M 0A5,44.6784,-63.6582
Nova Scotia,Low Wage,4401682 NOVA SCOTIA LIMITED,"Halifax, NS B3A 0B4",65310-Light duty cleaners,Unknown,1,1,B3A 0B4,44.6819,-63.5768
Nova Scotia,Low Wage,4419414 NOVA SCOTIA LIMITED,"NEW MINAS, NS B4N 5A4",62020-Food service supervisors,Unknown,1,1,B4N 5A4,45.0834,-64.4988
Nova Scotia,Low Wage,Adam SG Bower Enterprises Limited,"Lunenburg, NS B0J 2C0",63200-Cooks,Unknown,1,1,B0J 2C0,44.9419,-62.6471
Nova Scotia,Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",60030-Restaurant and food service managers,Unknown,1,1,B5A 2T6,43.8335,-66.1156
Nova Scotia,Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",62020-Food service supervisors,Unknown,3,7,B5A 2T6,43.8335,-66.1156
Nova Scotia,Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,3,12,B5A 2T6,43.8335,-66.1156
Nova Scotia,Low Wage,Advanced Hotels Inc,"Dartmouth, NS B3B 0J3",65310-Light duty cleaners,Unknown,1,5,B3B 0J3,44.7091,-63.5869
Nova Scotia,Low Wage,Apple Valley Foods Inc,"Kentville, NS B4N 3V7",95106-Labourers in food and beverage processing,Unknown,2,15,B4N 3V7,45.0834,-64.4988
Nova Scotia,Low Wage,AshMeg Seafoods Ltd.,"Sambro, NS B3V 1L6",94142-Fish and seafood plant workers,Unknown,1,1,B3V 1L6,44.5199,-63.6064
Nova Scotia,Low Wage,Baby Panda Asian Cuisine,"Windsor, NS B0N 2T0",65200-Food and beverage servers,Unknown,1,1,B0N 2T0,45.0963,-63.4701
Nova Scotia,Low Wage,Baker Tilly Nova Scotia Inc,"Dartmouth, NS B3B 2C4",12200-Accounting technicians and bookkeepers,Unknown,1,1,B3B 2C4,44.7091,-63.5869
Nova Scotia,Low Wage,Benco Foods Limited,"Upper Tantallon, NS B3Z 1H3",60030-Restaurant and food service managers,Unknown,1,1,B3Z 1H3,44.6386,-63.8687
Nova Scotia,Low Wage,Benco Foods Limited,"Upper Tantallon, NS B3Z 1H3",62020-Food service supervisors,Unknown,1,1,B3Z 1H3,44.6386,-63.8687
Nova Scotia,Low Wage,Black Diamond Builders Limited,"Halifax, NS B3P 1K9",72310-Carpenters,Unknown,1,1,B3P 1K9,44.6139,-63.5946
Nova Scotia,Low Wage,Bluenose Mini Mart,"Halifax, NS B3M 2N4","65102-Store shelf stockers, clerks and order fillers",Unknown,1,1,B3M 2N4,44.6784,-63.6582
Nova Scotia,Low Wage,"Cabot Links at Inverness, Limited Partnership","Inverness, NS B0E 1N0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2,B0E 1N0,46.1133,-61.0251
Nova Scotia,Low Wage,"Cabot Links at Inverness, Limited Partnership","Inverness, NS B0E 1N0",85121-Landscaping and grounds maintenance labourers,Unknown,1,4,B0E 1N0,46.1133,-61.0251
Nova Scotia,Low Wage,Cloverville Enterprises Ltd.,"Antigonish, NS B2G 1R6",60030-Restaurant and food service managers,Unknown,1,1,B2G 1R6,45.6168,-61.9986
Nova Scotia,Low Wage,Cloverville Enterprises Ltd.,"Antigonish, NS B2G 1R6",62020-Food service supervisors,Unknown,3,5,B2G 1R6,45.6168,-61.9986
Nova Scotia,Low Wage,costie investments ltd,"Lunenburg  NS, NS B0J 2C0",62020-Food service supervisors,Unknown,1,1,B0J 2C0,44.9419,-62.6471
Nova Scotia,Low Wage,d`Eon Boatbuilding Ltd,"Yarmouth, NS B0W 2M0",72310-Carpenters,Unknown,1,2,B0W 2M0,44.0486,-65.7547
Nova Scotia,Low Wage,Dakota Holdings,"Coldbrook, NS B4R 1A2","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,B4R 1A2,45.0668,-64.5821
Nova Scotia,Low Wage,Dexter Construction Company Ltd.,"Bedford, NS B4A 3Z2",75212-Public works and maintenance labourers,Unknown,1,17,B4A 3Z2,44.7232,-63.656
Nova Scotia,Low Wage,Don McNeill Enterprises Ltd.,"Elmsdale, NS B2S 1A8",62010-Retail sales supervisors,Unknown,1,2,B2S 1A8,45.0209,-63.5344
